max_depth,n_estimators,accuracy,f1_score
5,10,0.715,0.6430457872968244
5,25,0.7,0.6373654446872526
5,50,0.7225,0.6487474616332254
5,100,0.7125,0.6452926081221922
5,200,0.7125,0.6452926081221922
5,500,0.745,0.6573677876132132
10,10,0.9825,0.9659649122807018
10,25,0.9825,0.962390605959898
10,50,0.9825,0.9519053690324409
10,100,0.98,0.9407814407814407
10,200,0.97,0.9102244702803363
10,500,0.9775,0.9306602657560875
20,10,0.98,0.9545880149812733
20,25,0.985,0.9615079365079365
20,50,0.985,0.9615079365079365
20,100,0.985,0.9615079365079365
20,200,0.985,0.9615079365079365
20,500,0.985,0.9615079365079365
50,10,0.98,0.9545880149812733
50,25,0.9825,0.9519053690324409
50,50,0.9825,0.9519053690324409
50,100,0.985,0.9615079365079365
50,200,0.985,0.9615079365079365
50,500,0.985,0.9615079365079365
100,10,0.98,0.9545880149812733
100,25,0.9825,0.9519053690324409
100,50,0.9825,0.9519053690324409
100,100,0.985,0.9615079365079365
100,200,0.985,0.9615079365079365
100,500,0.985,0.9615079365079365
